字,代表音訓
后,コウ
喉,コウ
坑,コウ
垢,コウ
好,コウ
孔,コウ
孝,コウ
宏,コウ
工,コウ
巧,コウ
巷,コウ
幸,コウ
広,コウ
庚,コウ
康,コウ
弘,コウ
恒,コウ
慌,コウ
抗,コウ
拘,コウ
控,コウ
攻,コウ
昂,コウ
晃,コウ
更,コウ
杭,コウ
校,コウ
梗,コウ
構,コウ
江,コウ
洪,コウ
浩,コウ
港,コウ
溝,コウ
甲,コウ
皇,コウ
硬,コウ
稿,コウ
糠,コウ
紅,コウ
紘,コウ
絞,コウ
綱,コウ
耕,コウ
考,コウ
肯,コウ
肱,コウ
腔,コウ
膏,コウ
航,コウ
荒,コウ
行,コウ
衡,コウ
講,コウ
貢,コウ
購,コウ
郊,コウ
酵,コウ
鉱,コウ
砿,コウ
鋼,コウ
閤,コウ
降,コウ
項,コウ
香,コウ
高,コウ
鴻,コウ
剛,ゴウ
劫,ゴウ
号,ゴウ
合,ゴウ
壕,ゴウ
拷,ゴウ
濠,ゴウ
豪,ゴウ
轟,ゴウ
麹,こうじ
克,コク
刻,コク
告,コク
国,コク
穀,コク
酷,コク
鵠,コク
黒,コク
獄,ゴク
漉,こし
腰,こし
甑,こしき
忽,コツ
惚,コツ
骨,コツ
狛,こま
込,こみ
此,これ
頃,ころ
今,コン
困,コン
坤,コン
墾,コン
婚,コン
恨,コン
懇,コン
昏,コン
昆,コン
根,コン
梱,コン
混,コン
痕,コン
紺,コン
艮,コン
魂,コン
些,サ
佐,サ
叉,サ
唆,サ
嵯,サ
左,サ
差,サ
査,サ
沙,サ
瑳,サ
砂,サ
詐,サ
鎖,サ
裟,サ
坐,ザ
座,ザ
挫,ザ
債,サイ
催,サイ
再,サイ
最,サイ
哉,サイ
塞,サイ
妻,サイ
宰,サイ
彩,サイ
才,サイ
採,サイ
栽,サイ
歳,サイ
済,サイ
災,サイ
采,サイ
犀,サイ
砕,サイ
砦,サイ
祭,サイ
斎,サイ
細,サイ
菜,サイ
裁,サイ
載,サイ
際,サイ
剤,ザイ
在,ザイ
材,ザイ
罪,ザイ
財,ザイ
冴,さえ
坂,さか
阪,さか
堺,さかい
榊,さかき
肴,さかな
咲,さき
崎,さき
埼,さき
碕,さき
鷺,さぎ
作,サク
削,サク
咋,サク
搾,サク
昨,サク
朔,サク
柵,サク
窄,サク
策,サク
索,サク
錯,サク
桜,さくら
鮭,さけ
笹,ささ
匙,さじ
冊,サツ
刷,サツ
察,サツ
拶,サツ
撮,サツ
擦,サツ
札,サツ
殺,サツ
薩,サツ
雑,ザツ
皐,さつき
鯖,さば
捌,さばく
錆,さび
鮫,さめ
皿,さら
晒,さらし
三,サン
傘,サン
参,サン
山,サン
惨,サン
撒,サン
散,サン
桟,サン
燦,サン
珊,サン
産,サン
算,サン
纂,サン
蚕,サン
讃,サン
賛,サン
酸,サン
餐,サン
斬,ザン
暫,ザン
残,ザン
仕,シ
仔,シ
伺,シ
使,シ
刺,シ
司,シ
史,シ
嗣,シ
四,シ
士,シ
始,シ
姉,シ
姿,シ
子,シ
屍,シ
市,シ
師,シ
志,シ
思,シ
指,シ
支,シ
孜,シ
斯,シ
施,シ
旨,シ
枝,シ
止,シ
死,シ
氏,シ
獅,シ
祉,シ
私,シ
糸,シ
紙,シ
紫,シ
肢,シ
脂,シ
至,シ
視,シ
詞,シ
詩,シ
試,シ
誌,シ
諮,シ
資,シ
賜,シ
雌,シ
飼,シ
歯,シ
事,ジ
似,ジ
侍,ジ
児,ジ
字,ジ
寺,ジ
慈,ジ
持,ジ
時,ジ
次,ジ
滋,ジ
治,ジ
爾,ジ
璽,ジ
痔,ジ
磁,ジ
示,ジ
而,ジ
耳,ジ
自,ジ
蒔,ジ
辞,ジ
汐,しお
鹿,しか
式,シキ
識,シキ
鴫,しぎ
竺,じく
軸,じく
宍,しし
雫,しずく
七,シチ
叱,シツ
執,シツ
失,シツ
嫉,シツ
室,シツ
悉,シツ
湿,シツ
漆,シツ
疾,シツ
質,シツ
実,ジツ
蔀,しとみ
篠,しの
偲,しのび
柴,しば
芝,しば
屡,しばしば
蕊,しべ
縞,しま
舎,シャ
写,シャ
射,シャ
捨,シャ
赦,シャ
斜,シャ
煮,シャ
社,シャ
紗,シャ
者,シャ
謝,シャ
車,シャ
遮,シャ
蛇,ジャ
邪,ジャ
借,シャク
勺,シャク
尺,シャク
杓,シャク
灼,シャク
爵,シャク
酌,シャク
釈,シャク
錫,シャク
若,ジャク
寂,ジャク
弱,ジャク
惹,ジャク
主,シュ
取,シュ
守,シュ
手,シュ
朱,シュ
殊,シュ
狩,シュ
珠,シュ
種,シュ
腫,シュ
趣,シュ
酒,シュ
首,シュ
儒,ジュ
受,ジュ
呪,ジュ
寿,ジュ
授,ジュ
樹,ジュ
綬,ジュ
需,ジュ
囚,シュウ
収,シュウ
周,シュウ
宗,シュウ
就,シュウ
州,シュウ
修,シュウ
愁,シュウ
拾,シュウ
洲,シュウ
秀,シュウ
秋,シュウ
終,シュウ
繍,シュウ
習,シュウ
臭,シュウ
舟,シュウ
蒐,シュウ
衆,シュウ
襲,シュウ
讐,シュウ
蹴,シュウ
輯,シュウ
週,シュウ
酋,シュウ
酬,シュウ
集,シュウ
醜,シュウ
什,ジュウ
住,ジュウ
充,ジュウ
十,ジュウ
従,ジュウ
戎,ジュウ
柔,ジュウ
汁,ジュウ
渋,ジュウ
獣,ジュウ
縦,ジュウ
重,ジュウ
銃,ジュウ
叔,シュク
夙,シュク
宿,シュク
淑,シュク
祝,シュク
縮,シュク
粛,シュク
塾,ジュク
熟,ジュク
出,シュツ
術,シュツ
述,シュツ
俊,シュン
峻,シュン
春,シュン
瞬,シュン
竣,シュン
舜,シュン
駿,シュン
准,ジュン
循,ジュン
旬,ジュン
楯,ジュン
殉,ジュン
淳,ジュン
準,ジュン
潤,ジュン
盾,ジュン
純,ジュン
巡,ジュン
遵,ジュン
醇,ジュン
順,ジュン
処,ショ
初,ショ
所,ショ
暑,ショ
曙,ショ
渚,ショ
庶,ショ
緒,ショ
署,ショ
書,ショ
薯,ショ
藷,ショ
諸,ショ
助,ジョ
叙,ジョ
女,ジョ
序,ジョ
徐,ジョ
恕,ジョ
鋤,ジョ
除,ジョ
傷,ショウ
償,ショウ
勝,ショウ
匠,ショウ
升,ショウ
召,ショウ
哨,ショウ
商,ショウ
唱,ショウ
嘗,ショウ
奨,ショウ
妾,ショウ
娼,ショウ
宵,ショウ
将,ショウ
小,ショウ
少,ショウ
尚,ショウ
庄,ショウ
床,ショウ
廠,ショウ
彰,ショウ
承,ショウ
抄,ショウ
招,ショウ
掌,ショウ
捷,ショウ
昇,ショウ
昌,ショウ
昭,ショウ
晶,ショウ
松,ショウ
梢,ショウ
樟,ショウ
樵,ショウ
沼,ショウ
消,ショウ
渉,ショウ
湘,ショウ
焼,ショウ
焦,ショウ
照,ショウ
症,ショウ
省,ショウ
硝,ショウ
礁,ショウ
祥,ショウ
称,ショウ
章,ショウ
笑,ショウ
粧,ショウ
紹,ショウ
肖,ショウ
菖,ショウ
蒋,ショウ
蕉,ショウ
衝,ショウ
裳,ショウ
訟,ショウ
証,ショウ
詔,ショウ
詳,ショウ
象,ショウ
賞,ショウ
醤,ショウ
鉦,ショウ
鍾,ショウ
鐘,ショウ
障,ショウ
鞘,ショウ
上,ショウ
丈,ジョウ
丞,ジョウ
乗,ジョウ
冗,ジョウ
剰,ジョウ
城,ジョウ
場,ジョウ
壌,ジョウ
嬢,ジョウ
常,ジョウ
情,ジョウ
擾,ジョウ
条,ジョウ
杖,ジョウ
浄,ジョウ
状,ジョウ
畳,ジョウ
穣,ジョウ
蒸,ジョウ
譲,ジョウ
醸,ジョウ
錠,ジョウ
嘱,ショク
埴,ショク
飾,ショク
拭,ショク
植,ショク
殖,ショク
燭,ショク
織,ショク
職,ショク
色,ショク
触,ショク
食,ショク
蝕,ショク
辱,ジョク
尻,しり
伸,シン
信,シン
侵,シン
唇,シン
娠,シン
寝,シン
審,シン
心,シン
慎,シン
振,シン
新,シン
晋,シン
森,シン
榛,シン
浸,シン
深,シン
申,シン
疹,シン
真,シン
神,シン
秦,シン
紳,シン
臣,シン
芯,シン
薪,シン
親,シン
診,シン
身,シン
辛,シン
進,シン
針,シン
震,シン
人,ジン
仁,ジン
刃,ジン
塵,ジン
壬,ジン
尋,ジン
甚,ジン
尽,ジン
腎,ジン
訊,ジン
迅,ジン
陣,ジン
靭,ジン
笥,ス
諏,ス
須,ス
酢,ス
図,ズ
厨,ズ
逗,ズ
吹,スイ
垂,スイ
帥,スイ
推,スイ
水,スイ
炊,スイ
睡,スイ
粋,スイ
翠,スイ
衰,スイ
遂,スイ
酔,スイ
錐,スイ
錘,スイ
随,ズイ
瑞,ズイ
髄,ズイ
崇,スウ
嵩,スウ
数,スウ
枢,スウ
趨,スウ
雛,スウ
据,すえ
杉,すぎ
椙,すぎ
菅,すげ
頗,すこぶる
雀,すずめ
裾,すそ
澄,すみ
摺,すり
寸,スン
世,セ
瀬,せ
畝,せ
是,ゼ
凄,セイ
制,セイ
勢,セイ
姓,セイ
征,セイ
性,セイ
成,セイ
政,セイ
整,セイ
星,セイ
晴,セイ
棲,セイ
栖,セイ
正,セイ
清,セイ
牲,セイ
生,セイ
盛,セイ
精,セイ
聖,セイ
声,セイ
製,セイ
西,セイ
誠,セイ
誓,セイ
請,セイ
逝,セイ
醒,セイ
青,セイ
静,セイ
斉,セイ
税,ゼイ
脆,ゼイ
隻,セキ
席,セキ
惜,セキ
戚,セキ
斥,セキ
昔,セキ
析,セキ
石,セキ
積,セキ
籍,セキ
績,セキ
脊,セキ
責,セキ
赤,セキ
跡,セキ
蹟,セキ
碩,セキ
切,セツ
拙,セツ
接,セツ
摂,セツ
折,セツ
設,セツ
窃,セツ
節,セツ
説,セツ
雪,セツ
絶,ゼツ
舌,ゼツ
蝉,せみ
仙,セン
先,セン
千,セン
占,セン
宣,セン
専,セン
尖,セン
川,セン
戦,セン
扇,セン
撰,セン
栓,セン
栴,セン
泉,セン
浅,セン
洗,セン
染,セン
潜,セン
煎,セン
煽,セン
旋,セン
穿,セン
箭,セン
線,セン
繊,セン
羨,セン
腺,セン
舛,セン
船,セン
薦,セン
詮,セン
賎,セン
践,セン
選,セン
遷,セン
銭,セン
銑,セン
閃,セン
鮮,セン
前,ゼン
善,ゼン
漸,ゼン
然,ゼン
全,ゼン
禅,ゼン
繕,ゼン
膳,ゼン
糎,せんち
噌,ソ
塑,ソ
岨,ソ
措,ソ
曾,ソ
曽,ソ
楚,ソ
狙,ソ
疏,ソ
疎,ソ
礎,ソ
祖,ソ
租,ソ
粗,ソ
素,ソ
組,ソ
蘇,ソ
訴,ソ
阻,ソ
遡,ソ
鼠,ソ
僧,ソウ
創,ソウ
双,ソウ
叢,ソウ
倉,ソウ
喪,ソウ
壮,ソウ
奏,ソウ
爽,ソウ
宋,ソウ
層,ソウ
匝,ソウ
惣,ソウ
想,ソウ
捜,ソウ
掃,ソウ
挿,ソウ
掻,ソウ
操,ソウ
早,ソウ
曹,ソウ
巣,ソウ
槍,ソウ
槽,ソウ
漕,ソウ
燥,ソウ
争,ソウ
痩,ソウ
相,ソウ
窓,ソウ
糟,ソウ
総,ソウ
綜,ソウ
聡,ソウ
草,ソウ
荘,ソウ
葬,ソウ
蒼,ソウ
藻,ソウ
装,ソウ
走,ソウ
送,ソウ
遭,ソウ
鎗,ソウ
霜,ソウ
騒,ソウ
像,ゾウ
増,ゾウ
憎,ゾウ
臓,ゾウ
蔵,ゾウ
贈,ゾウ
造,ゾウ
促,ソク
側,ソク
則,ソク
即,ソク
息,ソク
捉,ソク
束,ソク
測,ソク
足,ソク
速,ソク
俗,ゾク
属,ゾク
賊,ゾク
族,ゾク
続,ゾク
卒,ソツ
袖,そで
其,それ
揃,そろい
存,ソン
孫,ソン
尊,ソン
損,ソン
村,ソン
遜,ソン
他,タ
多,タ
太,タ
汰,タ
詑,タ
唾,ダ
堕,ダ
妥,ダ
惰,ダ
打,ダ
柁,ダ
舵,ダ
楕,ダ
陀,ダ
駄,ダ
騨,ダ
体,タイ
堆,タイ
対,タイ
耐,タイ
岱,タイ
帯,タイ
待,タイ
怠,タイ
態,タイ
戴,タイ
替,タイ
泰,タイ
滞,タイ
胎,タイ
腿,タイ
苔,タイ
袋,タイ
貸,タイ
退,タイ
逮,タイ
隊,タイ
黛,タイ
鯛,タイ
代,タイ
台,タイ
大,タイ
第,ダイ
醍,ダイ
題,ダイ
鷹,たか
滝,たき
瀧,たき
卓,タク
啄,タク
宅,タク
托,タク
択,タク
拓,タク
沢,タク
濯,タク
琢,タク
託,タク
鐸,タク
濁,ダク
諾,ダク
茸,たけ
凧,たこ
蛸,たこ
只,ただ
叩,たたき
但,ただし
達,タツ
辰,たつ
奪,ダツ
脱,ダツ
巽,たつみ
竪,たて
辿,たどり
棚,たな
谷,たに
狸,たぬき
鱈,たら
樽,たる
誰,だれ
丹,タン
単,タン
嘆,タン
坦,タン
担,タン
探,タン
旦,タン
歎,タン
淡,タン
湛,タン
炭,タン
短,タン
端,タン
箪,タン
綻,タン
耽,タン
胆,タン
蛋,タン
誕,タン
鍛,タン
団,ダン
壇,ダン
弾,ダン
断,ダン
暖,ダン
檀,ダン
段,ダン
男,ダン
談,ダン
値,チ
知,チ
地,チ
弛,チ
恥,チ
智,チ
池,チ
痴,チ
稚,チ
置,チ
致,チ
蜘,チ
遅,チ
馳,チ
築,チク
畜,チク
竹,チク
筑,チク
蓄,チク
逐,チク
秩,チツ
窒,チツ
茶,チャ
嫡,チャク
着,チャク
中,チュウ
仲,チュウ
宙,チュウ
忠,チュウ
抽,チュウ
昼,チュウ
柱,チュウ
注,チュウ
虫,チュウ
衷,チュウ
註,チュウ
酎,チュウ
鋳,チュウ
駐,チュウ
樗,チョ
瀦,チョ
猪,チョ
苧,チョ
著,チョ
貯,チョ
丁,チョウ
兆,チョウ
凋,チョウ
喋,チョウ
寵,チョウ
帖,チョウ
帳,チョウ
庁,チョウ
弔,チョウ
張,チョウ
彫,チョウ
徴,チョウ
懲,チョウ
挑,チョウ
暢,チョウ
朝,チョウ
潮,チョウ
牒,チョウ
町,チョウ
眺,チョウ
聴,チョウ
脹,チョウ
腸,チョウ
蝶,チョウ
調,チョウ
諜,チョウ
超,チョウ
跳,チョウ
銚,チョウ
長,チョウ
頂,チョウ
鳥,チョウ
勅,チョク
捗,チョク
直,チョク
朕,チン
沈,チン
珍,チン
賃,チン
鎮,チン
陳,チン
津,つ
墜,ツイ
椎,ツイ
槌,ツイ
追,ツイ
鎚,ツイ
痛,ツウ
通,ツウ
塚,つか
栂,つが
掴,つかみ
槻,つき
佃,つくだ
漬,つけ
柘,つげ
辻,つじ
蔦,つた
綴,つづり
鍔,つば
椿,つばき
潰,つぶれ
坪,つぼ
壷,つぼ
嬬,つま
紬,つむぎ
爪,つめ
吊,つり
釣,つり
鶴,つる
亭,テイ
低,テイ
停,テイ
偵,テイ
剃,テイ
貞,テイ
呈,テイ
堤,テイ
定,テイ
帝,テイ
底,テイ
庭,テイ
廷,テイ
弟,テイ
悌,テイ
抵,テイ
挺,テイ
提,テイ
梯,テイ
汀,テイ
碇,テイ
禎,テイ
程,テイ
締,テイ
艇,テイ
訂,テイ
諦,テイ
蹄,テイ
逓,テイ
邸,テイ
鄭,テイ
釘,テイ
鼎,テイ
泥,デイ
摘,テキ
擢,テキ
敵,テキ
滴,テキ
的,テキ
笛,テキ
適,テキ
鏑,テキ
溺,デキ
哲,テツ
徹,テツ
撤,テツ
轍,テツ
迭,テツ
鉄,テツ
典,テン
填,テン
天,テン
展,テン
店,テン
添,テン
纏,テン
甜,テン
貼,テン
転,テン
顛,テン
点,テン
伝,デン
殿,デン
澱,デン
田,デン
電,デン
兎,ト
吐,ト
堵,ト
塗,ト
妬,ト
屠,ト
徒,ト
斗,ト
杜,ト
渡,ト
登,ト
菟,ト
賭,ト
途,ト
都,ト
鍍,ト
砥,と
砺,と
努,ド
度,ド
土,ド
奴,ド
怒,ド
倒,トウ
党,トウ
冬,トウ
凍,トウ
刀,トウ
唐,トウ
塔,トウ
塘,トウ
套,トウ
宕,トウ
島,トウ
嶋,トウ
悼,トウ
投,トウ
搭,トウ
東,トウ
桃,トウ
梼,トウ
棟,トウ
盗,トウ
淘,トウ
湯,トウ
涛,トウ
灯,トウ
燈,トウ
当,トウ
痘,トウ
祷,トウ
等,トウ
答,トウ
筒,トウ
糖,トウ
統,トウ
到,トウ
董,トウ
蕩,トウ
藤,トウ
討,トウ
謄,トウ
豆,トウ
踏,トウ
逃,トウ
透,トウ
鐙,トウ
陶,トウ
頭,トウ
騰,トウ
闘,トウ
働,ドウ
