字,漢音
𧕣,セン
雋,ゼン
隽,ゼン
𤺻,ゼン
吮,ゼン
𦼱,ゼン
辡,ヘン
䁵,ヘン
覸,ヘン
鴘,ヘン
兖,ヱン
渷,ヱン
沇,ヱン
𢯻,ヱン
抁,ヱン
萒,ヱン
馻,ヱン
㕣,ヱン
𦁙,ヱン
𩘍,ヱン
臠,レン
孌,レン
𡡗,レン
脟,レン
轉,テン
𣓧,テン
卷,クヱン
菤,クヱン
韏,クヱン
𨹵,クヱン
捲,クヱン
埢,クヱン
圈,クヱン
蔨,クヱン
萒,クヱン
輭,ゼン
軟,ゼン
蝡,ゼン
㮕,ゼン
䓴,ゼン
碝,ゼン
瑌,ゼン
愞,ゼン
腝,ゼン
䞂,ゼン
耎,ゼン
𢘎,ゼン
㞋,ゼン
偄,ゼン
㼱,ゼン
𤲬,ゼン
緛,ゼン
舛,セン
喘,セン
荈,セン
㪜,セン
膞,セン
腨,セン
鄟,セン
𡭐,セン
歂,セン
踹,セン
𦺲,セン
篆,テン
瑑,テン
沌,テン
摶,テン
𦁆,テン
䧘,テン
堟,テン
剸,セン
剬,セン
孨,セン
鱄,セン
竱,セン
膞,セン
𨷱,セン
𡇰,セン
𦓝,セン
選,セン
𦌻,セン
𥶷,セン
撰,セン
僎,セン
𩔊,セン
𩻝,セン
譔,セン
蠉,クヱン
𧾣,クヱン
楩,ヘン
𢣑,ヘン
諞,ヘン
扁,ヘン
免,ベン
娩,ベン
勉,ベン
俛,ベン
鮸,ベン
㝃,ベン
冕,ベン
絻,ベン
鴘,ヘン
㒄,セン
㜣,セン
䁴,セン
㫃,エン
䟍,エン
嫣,エン
邅,テン
棧,セン
篠,セウ
筱,セウ
𩵌,セウ
𧩮,セウ
謏,セウ
䃤,セウ
㩋,セウ
皎,ケウ
璬,ケウ
𢅎,ケウ
䥵,ケウ
㿟,ケウ
皦,ケウ
恔,ケウ
繳,ケウ
𨶪,ケウ
晈,ケウ
䘨,ケウ
儌,ケウ
鳥,テウ
𢁕,テウ
㣿,テウ
蔦,テウ
釕,テウ
扚,テウ
𧜣,テウ
䄪,テウ
𠄏,テウ
了,レウ
蓼,レウ
瞭,レウ
镽,レウ
鄝,レウ
繚,レウ
憭,レウ
䑠,レウ
爒,レウ
𢄺,レウ
𥗀,レウ
撩,レウ
𤁸,レウ
𧘈,レウ
朓,テウ
窱,テウ
䠷,テウ
杳,エウ
窅,エウ
窈,エウ
偠,エウ
騕,エウ
𩡻,エウ
𨱧,エウ
葽,エウ
㫏,エウ
鴢,エウ
婹,エウ
㫐,エウ
䆞,エウ
𡧮,エウ
苭,エウ
嬲,デウ
嫋,デウ
𨲂,デウ
㒟,デウ
褭,デウ
嬈,デウ
㜵,デウ
䃵,デウ
𢴶,デウ
皛,ケウ
㵿,ケウ
芍,ケウ
𦯪,ケウ
𠄔,ケウ
窕,テウ
𤕷,テウ
𤱩,テウ
誂,テウ
掉,テウ
嬥,テウ
挑,テウ
䂽,テウ
磽,ケウ
䂪,ケウ
湫,セウ
劋,セウ
㭂,セウ
㡑,セウ
𧂈,セウ
小,セウ
𩵖,セウ
䒕,セウ
肇,テウ
肁,テウ
兆,テウ
趙,テウ
旐,テウ
狣,テウ
䍮,テウ
鮡,テウ
駣,テウ
垗,テウ
𠧞,テウ
沼,セウ
菬,セウ
䈃,セウ
夭,エウ
殀,エウ
芺,エウ
仸,エウ
巐,テウ
少,セウ
䒚,セウ
𨙹,セウ
擾,ゼウ
𢹎,ゼウ
繞,ゼウ
遶,ゼウ
嬈,ゼウ
𤛾,ゼウ
𧳨,ゼウ
摽,ヘウ
𢹰,ヘウ
鰾,ヘウ
慓,ヘウ
顠,ヘウ
𩮳,ヘウ
膘,ヘウ
𦭼,ヘウ
𪍑,セウ
麨,セウ
弨,セウ
楢,セウ
眧,セウ
縹,ヘウ
醥,ヘウ
犥,ヘウ
顠,ヘウ
皫,ヘウ
篻,ヘウ
瞟,ヘウ
膘,ヘウ
眇,ベウ
渺,ベウ
訬,ベウ
𦳥,ベウ
淼,ベウ
杪,ベウ
秒,ベウ
藐,ベウ
吵,ベウ
篎,ベウ
紹,セウ
綤,セウ
佋,セウ
袑,セウ
䙼,セウ
矯,ケウ
鱎,ケウ
䚩,ケウ
敽,ケウ
撟,ケウ
嬌,ケウ
𥃧,ケウ
蟜,ケウ
譑,ケウ
𨝰,ケウ
孂,ケウ
蹻,ケウ
表,ヘウ
𧘝,ヘウ
𧞧,ヘウ
䔸,ヘウ
鷕,エウ
溔,エウ
舀,エウ
𦥨,エウ
抭,エウ
𩨴,エウ
䁘,エウ
悄,セウ
愀,セウ
釥,セウ
𠞰,セウ
𠟯,セウ
勦,セウ
漅,セウ
𨙹,セウ
𤃭,セウ
膘,セウ
𢄺,セウ
𨲭,ケウ
繚,レウ
燎,レウ
𢻢,レウ
璙,レウ
憭,レウ
爒,レウ
僚,レウ
䩍,レウ
嫽,レウ
麃,ヘウ
闄,エウ
巧,カウ
䲾,カウ
澩,カウ
㺒,カウ
䕧,カウ
佼,カウ
䀊,カウ
䉰,カウ
飽,ハウ
𩝰,ハウ
𩛁,ハウ
㺒,ダウ
撓,ダウ
獿,ダウ
卯,バウ
戼,バウ
緢,バウ
泖,バウ
媌,バウ
昴,バウ
茆,バウ
絞,カウ
狡,カウ
佼,カウ
攪,カウ
䕧,カウ
筊,カウ
𢯴,カウ
鉸,カウ
𥂔,カウ
姣,カウ
烄,カウ
𢽻,カウ
䀊,カウ
䉰,カウ
㽱,カウ
爪,サウ
㕚,サウ
䝖,サウ
瑵,サウ
笊,サウ
𢁬,サウ
抓,サウ
𦬔,サウ
拗,アウ
鴢,アウ
𢂊,アウ
𥃯,アウ
狕,アウ
鮑,ハウ
骲,ハウ
𡂟,ハウ
鞄,ハウ
齩,ガウ
䰫,サウ
㑿,サウ
煼,サウ
𩱦,サウ
𤌉,サウ
炒,サウ
謅,サウ
𩱈,サウ
吵,サウ
䝤,タウ
獠,タウ
𢾐,サウ
晧,カウ
昊,カウ
昦,カウ
暭,カウ
鎬,カウ
浩,カウ
顥,カウ
灝,カウ
鰝,カウ
夰,カウ
薃,カウ
鄗,カウ
𨛴,カウ
𧇼,カウ
𥢑,カウ
滈,カウ
抱,ホウ
老,ラウ
䝤,ラウ
獠,ラウ
轑,ラウ
橑,ラウ
潦,ラウ
䕩,ラウ
栳,ラウ
𣠼,ラウ
𩔇,ラウ
恅,ラウ
𡂕,ラウ
䵏,ラウ
澇,ラウ
討,タウ
𡘷,タウ
槄,タウ
道,タウ
衟,タウ
𡬲,タウ
稻,タウ
駣,タウ
𣜦,タウ
𨱵,タウ
堖,ダウ
腦,ダウ
𠜶,ダウ
惱,ダウ
碯,ダウ
𨱵,ダウ
㺁,ダウ
𧳦,ダウ
㛴,ダウ
㛮,サウ
嫂,サウ
㛐,サウ
燥,サウ
埽,サウ
掃,サウ
𦺋,サウ
倒,タウ
擣,タウ
搗,タウ
㠀,タウ
禂,タウ
䮻,タウ
檮,タウ
禱,タウ
㿒,タウ
壔,タウ
懤,タウ
草,サウ
艸,サウ
懆,サウ
慅,サウ
騲,サウ
𠹊,サウ
愺,サウ
早,サウ
澡,サウ
藻,サウ
薻,サウ
𧎮,サウ
蚤,サウ
䲃,サウ
璪,サウ
璅,サウ
棗,サウ
繰,サウ
繅,サウ
皁,サウ
𦯑,サウ
造,サウ
艁,サウ
暠,カウ
𣓌,カウ
杲,カウ
稾,カウ
藳,カウ
夰,カウ
縞,カウ
槀,カウ
㚖,カウ
菒,カウ
𥓖,カウ
好,カウ
𡚽,カウ
蓩,ボウ
䓮,ボウ
媢,ボウ
冃,ボウ
寶,ホウ
珤,ホウ
保,ホウ
𡥀,ホウ
堢,ホウ
堡,ホウ
褓,ホウ
緥,ホウ
鴇,ホウ
葆,ホウ
駂,ホウ
䎂,ホウ
宲,ホウ
賲,ホウ
𠤏,ホウ
襖,アウ
镺,アウ
懊,アウ
䐿,アウ
芺,アウ
䴠,アウ
媪,アウ
燠,アウ
夭,アウ
㤇,アウ
郩,アウ
蝹,アウ
䯠,アウ
𪁾,アウ
考,カウ
攷,カウ
栲,カウ
槁,カウ
祰,カウ
洘,カウ
燺,カウ
丂,カウ
䯪,カウ
薧,カウ
𦽀,ガウ
𩑤,ガウ
哿,カ
舸,カ
笴,カ
𥰮,カ
瑳,サ
䰈,サ
硰,サ
嚲,タ
䯬,タ
哆,タ
癉,タ
䫂,タ
縒,サ
娑,サ
褨,サ
爹,タ
柁,タ
舵,タ
陊,タ
袉,タ
拕,タ
沱,タ
𣵻,タ
詑,タ
我,ガ
騀,ガ
𩒰,ガ
㧴,ガ
硪,ガ
袉,タ
㰁,ラ
𩝢,ラ
欏,ラ
砢,ラ
㦬,ラ
曪,ラ
𣂞,ラ
剆,ラ
𠻡,ラ
橠,ダ
娜,ダ
㡅,ダ
𢄴,ダ
那,ダ
袲,ダ
荷,カ
何,カ
㰤,カ
㗿,カ
㪃,カ
㪋,カ
𩑸,カ
可,カ
岢,カ
軻,カ
坷,カ
𨵌,ア
椏,ア
𣘨,ア
妸,ア
娿,ア
㫊,ア
𧙃,ア
左,サ
㝾,サ
,サ
果,クヮ
菓,クヮ
猓,クヮ
輠,クヮ
鐹,クヮ
划,クヮ
裹,クヮ
蜾,クヮ
惈,クヮ
䴹,クヮ
粿,クヮ
埵,タ
鬌,タ
挆,タ
𦀉,タ
朵,タ
朶,タ
綞,タ
揣,タ
鍺,タ
𨹄,タ
䤪,タ
𥠄,タ
㪜,タ
𩊜,タ
褍,タ
鎖,サ
瑣,サ
溑,サ
葰,サ
䈗,サ
䵀,サ
𩹳,サ
𥔭,サ
䣔,サ
惢,サ
𢱡,サ
𧴪,サ
墮,タ
垛,タ
𤬾,タ
䅜,タ
𥬲,タ
𥳔,タ
𩊜,タ
䤻,タ
憜,タ
惰,タ
嫷,タ
鬌,タ
䲊,タ
嶞,タ
妥,タ
媠,タ
隋,タ
䲊,タ
㟎,タ
墮,タ
橢,タ
𨼰,タ
鵎,タ
麼,バ
𣋟,バ
懡,バ
坐,サ
𡋲,サ
㛂,グヮ
𠂬,グヮ
裸,ラ
躶,ラ
𧝹,ラ
臝,ラ
卵,ラ
瘰,ラ
𤼠,ラ
蓏,ラ
蠃,ラ
婐,ワ
倭,ワ
𥟿,ワ
㛂,ダ
𢫷,ダ
跛,ハ
簸,ハ
駊,ハ
㝿,ハ
叵,ハ
駊,ハ
頗,ハ
𡽠,ハ
禍,クヮ
𥚁,クヮ
夥,クヮ
𡖿,クヮ
𣄸,クヮ
輠,クヮ
𨘌,クヮ
火,クヮ
邩,クヮ
顆,クヮ
堁,クヮ
敤,クヮ
爸,ハ
脞,サ
䂳,サ
硰,サ
馬,バ
碼,バ
䣕,バ
罵,バ
𥧓,バ
鷌,バ
鰢,バ
者,シャ
赭,シャ
堵,シャ
野,ヤ
壄,ヤ
也,ヤ
冶,ヤ
虵,ヤ
雅,ガ
疋,ガ
庌,ガ
厊,ガ
㿿,ガ
檟,カ
榎,カ
嘏,カ
假,カ
叚,カ
賈,カ
斝,カ
瘕,カ
椵,カ
婽,カ
灑,サ
啞,ア
瘂,ア
𤺘,ア
灺,シャ
抯,シャ
䵦,シャ
下,カ
丅,カ
夏,カ
廈,カ
寫,シャ
𣞐,シャ
瀉,シャ
𣬕,シャ
且,シャ
㗿,カ
閜,カ
襾,カ
社,シャ
𥁹,シャ
𣝒,シャ
跁,ハ
䇑,ハ
笆,ハ
捨,シャ
舍,シャ
騇,シャ
䬷,シャ
𩜉,シャ
姐,シャ
抯,シャ
飷,シャ
把,ハ
踝,クヮ
稞,クヮ
𡱏,クヮ
𦖍,クヮ
黊,クヮ
蘳,クヮ
觟,クヮ
𩸄,クヮ
𢦚,クヮ
輠,クヮ
䴹,クヮ
寡,クヮ
冎,クヮ
剮,クヮ
𣑍,クヮ
𠊰,クヮ
𠁥,クヮ
䈑,クヮ
𧤐,クヮ
瓦,グヮ
邷,グヮ
若,ジャ
惹,ジャ
𠰒,ジャ
鮓,サ
厏,サ
謯,サ
𥰭,サ
痄,サ
觰,タ
槎,サ
厏,サ
奲,シャ
㨋,シャ
䰩,シャ
哆,シャ
撦,シャ
䋾,タ
䋈,ダ
髁,クヮ
跨,クヮ
骻,クヮ
㡁,クヮ
銙,クヮ
𢄳,クヮ
𡕒,クヮ
奼,タ
養,ヤウ
痒,ヤウ
癢,ヤウ
瀁,ヤウ
蛘,ヤウ
勨,ヤウ
𧓲,ヤウ
像,ヤウ
象,ヤウ
蟓,ヤウ
橡,ヤウ
襐,ヤウ
勨,ヤウ
鱌,ヤウ
潒,ヤウ
𨖶,ヤウ
𦺨,ヤウ
嶑,ヤウ
㢡,シャウ
獎,シャウ
䉃,シャウ
槳,シャウ
㯍,シャウ
蔣,シャウ
㒳,リャウ
兩,リャウ
脼,リャウ
𣓈,リャウ
緉,リャウ
蜽,リャウ
魎,リャウ
㔝,リャウ
鞅,ヤウ
柍,ヤウ
秧,ヤウ
䬬,ヤウ
詇,ヤウ
岟,ヤウ
駚,ヤウ
炴,ヤウ
𧵌,ヤウ
怏,ヤウ
紻,ヤウ
勥,キャウ
彊,キャウ
弜,キャウ
誩,キャウ
滰,キャウ
仰,ギャウ
䒢,ギャウ
卬,ギャウ
磢,サウ
㼽,サウ
𠞮,サウ
搶,サウ
漺,サウ
愴,サウ
想,シャウ
鯗,シャウ
掌,シャウ
仉,シャウ
𤓯,シャウ
𤕤,サウ
爽,サウ
𦄍,サウ
鷞,サウ
塽,サウ
樉,サウ
㼽,サウ
漺,サウ
䫪,サウ
響,キャウ
饗,キャウ
蠁,キャウ
䖮,キャウ
亯,キャウ
亨,キャウ
嚮,キャウ
曏,キャウ
敞,シャウ
𢠵,シャウ
氅,シャウ
𪅶,シャウ
廠,シャウ
䟫,シャウ
僘,シャウ
繈,キャウ
鏹,キャウ
襁,キャウ
膙,キャウ
憼,キャウ
丈,チャウ
杖,チャウ
仗,チャウ
㽴,チャウ
昶,タウ
鋹,タウ
獷,クヮウ
壤,ジャウ
䖆,ジャウ
䑋,ジャウ
穰,ジャウ
蠰,ジャウ
攘,ジャウ
躟,ジャウ
𥗝,ジャウ
賞,シャウ
𩞧,シャウ
𩞃,シャウ
饟,シャウ
曏,シャウ
髣,ハウ
彷,ハウ
仿,ハウ
紡,ハウ
鶭,ハウ
䲱,ハウ
网,バウ
網,バウ
罔,バウ
輞,バウ
棢,バウ
惘,バウ
菵,バウ
誷,バウ
𡔞,バウ
𦖉,バウ
蛧,バウ
魍,バウ
昉,ハウ
倣,ハウ
放,ハウ
瓬,ハウ
枉,ワウ
𢽃,ワウ
𣢫,ワウ
汪,ワウ
往,ワウ
暀,ワウ
怳,クヮウ
𧧢,クヮウ
搶,シャウ
摤,シャウ
長,チャウ
上,シャウ
丄,シャウ
俇,クヰャウ
臩,クヮウ
迋,クヮウ
𠏤,クヮウ
逛,クヮウ
𩦠,ハウ
䫪,サウ
傸,サウ
蕩,タウ
崵,タウ
婸,タウ
𥯕,タウ
潒,タウ
𢠽,タウ
愓,タウ
璗,タウ
盪,タウ
䑗,タウ
簜,タウ
嵣,タウ
顙,サウ
𣞙,サウ
𣡆,サウ
磉,サウ
廣,クヮウ
鄺,クヮウ
榜,ハウ
牓,ハウ
𣮧,ハウ
螃,ハウ
蒡,ハウ
䰃,ハウ
駔,サウ
驡,サウ
髒,サウ
曩,ダウ
灢,ダウ
沆,カウ
骯,カウ
䟘,カウ
𡕬,カウ
蚢,カウ
吭,カウ
曭,タウ
儻,タウ
偒,タウ
戃,タウ
矘,タウ
𥯕,タウ
帑,タウ
爣,タウ
𣎲,タウ
㼒,タウ
㿩,タウ
攩,タウ
莽,バウ
茻,バウ
壾,バウ
䁳,バウ
䒎,バウ
㬒,バウ
䥈,バウ
蠎,バウ
漭,バウ
㟐,バウ
黨,タウ
讜,タウ
欓,タウ
䣣,タウ
𧅗,タウ
朗,ラウ
朖,ラウ
誏,ラウ
俍,ラウ
崀,ラウ
榔,ラウ
㝗,ラウ
坱,アウ
姎,アウ
映,アウ
泱,アウ
咉,アウ
醠,アウ
䇦,アウ
盎,アウ
駚,アウ
軮,アウ
慷,カウ
忼,カウ
𡻚,カウ
骯,カウ
䡉,カウ
㝩,カウ
懬,カウ
㳹,ワウ
瀇,ワウ
晃,クヮウ
幌,クヮウ
櫎,クヮウ
榥,クヮウ
滉,クヮウ
攩,クヮウ
皝,クヮウ
髈,ハウ
䒍,ハウ
慌,クヮウ
爌,クヮウ
𡧽,クヮウ
䁜,クヮウ
㬻,クヮウ
𣆖,クヮウ
𧧢,クヮウ
䴚,カウ
𨟼,カウ
㽘,カウ
䟘,カウ
䭹,ガウ
奘,サウ
蒼,サウ
汻,カウ
酐,カウ
𤰟,カウ
懬,クヮウ
䡉,クヮウ
爌,クヮウ
梗,カウ
挭,カウ
哽,カウ
郠,カウ
綆,カウ
鯁,カウ
埂,カウ
骾,カウ
𧋑,カウ
丙,ヘイ
昞,ヘイ
怲,ヘイ
邴,ヘイ
炳,ヘイ
秉,ヘイ
窉,ヘイ
苪,ヘイ
蛃,ヘイ
警,ケイ
儆,ケイ
景,ケイ
境,ケイ
璥,ケイ
蟼,ケイ
㯳,ケイ
憼,ケイ
影,エイ
璟,エイ
璄,エイ
䭘,エイ
摬,エイ
㲟,エイ
𠝟,エイ
𩘑,エイ
省,セイ
眚,セイ
㾪,セイ
𡞞,セイ
䚇,セイ
𨵥,セイ
㼳,セイ
渻,セイ
𨜜,セイ
永,ヱイ
栐,ヱイ
𦬺,クヱイ
皿,メイ
𥥊,メイ
𥁰,メイ
憬,ケイ
囧,ケイ
煚,ケイ
璟,ケイ
臩,ケイ
暻,ケイ
杏,カウ
莕,カウ
荇,カウ
猛,マウ
𥋝,マウ
蜢,マウ
艋,マウ
鱦,マウ
鄳,マウ
礦,クヮウ
鑛,クヮウ
𨥥,クヮウ
𪍿,クヮウ
䵃,クヮウ
獷,クヮウ
穬,クヮウ
浜,ハウ
㑟,ハウ
𧚭,ハウ
盯,タウ
瑒,タウ
卝,クヮウ
澋,クヮウ
鮩,ハウ
檸,ダウ
耿,カウ
𦵸,カウ
𥉔,カウ
䁅,バウ
鼆,バウ
黽,バウ
幸,カウ
𠂷,カウ
倖,カウ
㼬,カウ
皏,ハウ
靜,セイ
睜,セイ
𩇕,セイ
靖,セイ
妌,セイ
婧,セイ
穽,セイ
阱,セイ
猙,セイ
竫,セイ
整,セイ
逞,テイ
騁,テイ
裎,テイ
悜,テイ
䩶,テイ
睈,テイ
郢,エイ
浧,エイ
梬,エイ
痙,ケイ
涇,ケイ
潁,エイ
穎,エイ
領,レイ
嶺,レイ
阾,レイ
柃,レイ
袊,レイ
䕘,レイ
頸,ケイ
餅,ヘイ
屏,ヘイ
鉼,ヘイ
併,ヘイ
䴵,ヘイ
頃,ケイ
頔,ケイ
㩩,ケイ
檾,ケイ
苘,ケイ
䔛,ケイ
井,セイ
𨙷,セイ
廮,エイ
𨟙,エイ
癭,エイ
𣤵,エイ
𦡺,エイ
請,セイ
睛,セイ
省,セイ
渻,セイ
睲,セイ
惺,セイ
㮐,セイ
𢜫,セイ
眳,メイ
慏,メイ
徎,テイ
𣵹,テイ
迥,ケイ
冋,ケイ
炯,ケイ
泂,ケイ
𦳖,ケイ
熲,ケイ
炅,ケイ
炯,ケイ
𠖷,ケイ
㯋,ケイ
𩚱,ケイ
煛,ケイ
𧍮,ケイ
茗,メイ
嫇,メイ
酩,メイ
瀴,メイ
溟,メイ
眳,メイ
姳,メイ
頂,テイ
𩠑,テイ
𩕢,テイ
奵,テイ
耵,テイ
鼎,テイ
薡,テイ
酊,テイ
濎,テイ
葶,テイ
靪,テイ
打,テイ
㞟,テイ
挺,テイ
艇,テイ
鋌,テイ
梃,テイ
娗,テイ
町,テイ
霆,テイ
莛,テイ
涏,テイ
蜓,テイ
訂,テイ
誔,テイ
珽,テイ
圢,テイ
脡,テイ
侹,テイ
頲,テイ
徎,テイ
𡈼,テイ
町,テイ
艼,テイ
𤱹,テイ
𦉬,テイ
䦐,テイ
濙,ヱイ
謦,ケイ
𩕳,ネイ
聹,ネイ
䗿,ネイ
濘,ネイ
䔭,ネイ
婞,ケイ
涬,ケイ
𩷏,ケイ
鋞,ケイ
脛,ケイ
𢙼,ケイ
緈,ケイ
醒,セイ
箵,セイ
鞞,ヘイ
褧,ケイ
檾,ケイ
苘,ケイ
烓,ケイ
顈,ケイ
絅,ケイ
剄,ケイ
烴,ケイ
笭,レイ
𦊓,レイ
冷,レイ
竝,ヘイ
並,ヘイ
鮩,ヘイ
併,ヘイ
詗,ケイ
拯,ショウ
抍,ショウ
撜,ショウ
𨋬,ショウ
氶,ショウ
等,トウ
肯,コウ
肎,コウ
能,ドウ
有,イウ
右,イウ
䳑,イウ
友,イウ
㕛,イウ
䀁,イウ
𥁓,イウ
栯,イウ
䒴,イウ
柳,リウ
罶,リウ
𦊑,リウ
懰,リウ
珋,リウ
𩖴,リウ
嬼,リウ
䉧,リウ
𪕋,リウ
熮,リウ
瀏,リウ
綹,リウ
𨋖,リウ
茆,リウ
狃,ヂウ
紐,ヂウ
鈕,ヂウ
杻,ヂウ
莥,ヂウ
𠘯,ヂウ
扭,ヂウ
𢔟,ヂウ
䏔,ヂウ
𨙺,ヂウ
莥,ヂウ
丑,チウ
杻,チウ
杽,チウ
肘,チウ
疛,チウ
𤶡,チウ
扭,チウ
朽,キウ
㱙,キウ
㽲,キウ
殠,キウ
久,キウ
九,キウ
玖,キウ
灸,キウ
韭,キウ
𡚰,キウ
𨾉,キウ
首,シウ
𩠐,シウ
𦣻,シウ
手,シウ
䭭,シウ
守,シウ
醜,シウ
𧃝,シウ
魗,シウ
湫,シウ
愀,シウ
婦,ホウ
䘀,ホウ
負,ホウ
萯,ホウ
蝜,ホウ
阜,ホウ
𨸏,ホウ
𪃓,ホウ
偩,ホウ
𦰺,ホウ
𨹺,ホウ
䧞,ホウ
㷆,ホウ
菩,ホウ
𧌈,ホウ
缶,フウ
缹,フウ
否,フウ
不,フウ
鴀,フウ
痞,フウ
殕,フウ
𡜊,フウ
糗,キウ
蹂,ジウ
楺,ジウ
煣,ジウ
輮,ジウ
沑,ジウ
𠘯,ジウ
葇,ジウ
𥠊,ジウ
韖,ジウ
粈,ジウ
舅,キウ
倃,キウ
臼,キウ
齨,キウ
麔,キウ
䳎,キウ
咎,キウ
䊆,キウ
𤷑,キウ
𢛃,キウ
䛮,キウ
紂,チウ
䈙,チウ
鮦,チウ
葤,チウ
棸,チウ
𦡴,チウ
酉,イウ
丣,イウ
誘,イウ
𦍶,イウ
䛻,イウ
牖,イウ
卣,イウ
槱,イウ
𥟁,イウ
莠,イウ
羑,イウ
庮,イウ
蜏,イウ
㝌,イウ
𣣸,イウ
琇,イウ
梄,イウ
𤪎,イウ
輶,イウ
𨣆,イウ
𦏇,イウ
受,シウ
壽,シウ
𨞪,シウ
璹,シウ
綬,シウ
滫,シウ
糔,シウ
醙,シウ
𦄼,シウ
䬀,イウ
䱂,イウ
懮,イウ
酒,シウ
帚,シウ
箒,シウ
鯞,シウ
晭,シウ
𧳜,シウ
㤱,フウ
紑,フウ
𩂆,フウ
掫,スウ
搊,スウ
𧌗,スウ
𥣙,シウ
𩋄,シウ
𩌄,シウ
秠,フウ
厚,コウ
垕,コウ
後,コウ
𨒥,コウ
后,コウ
郈,コウ
㖃,コウ
母,ボウ
牡,ボウ
某,ボウ
拇,ボウ
胟,ボウ
𠭇,ボウ
畮,ボウ
畞,ボウ
莽,ボウ
𤝕,ボウ
𤵝,ボウ
踇,ボウ
𧿹,ボウ
䳇,ボウ
部,ホウ
培,ホウ
犃,ホウ
䏽,ホウ
瓿,ホウ
䍌,ホウ
䴺,ホウ
篰,ホウ
蔀,ホウ
婄,ホウ
斗,トウ
㪷,トウ
枓,トウ
蚪,トウ
阧,トウ
陡,トウ
抖,トウ
襡,トウ
𪌜,トウ
飳,トウ
妵,トウ
黈,トウ
𩿢,トウ
蘣,トウ
斢,トウ
鈄,トウ
䱏,トウ
苟,コウ
玽,コウ
狗,コウ
垢,コウ
笱,コウ
𦊒,コウ
耇,コウ
詬,コウ
枸,コウ
茩,コウ
岣,コウ
敂,コウ
豿,コウ
藕,ゴウ
蕅,ゴウ
偶,ゴウ
耦,ゴウ
髃,ゴウ
㼴,ゴウ
叜,ソウ
叟,ソウ
𠊯,ソウ
嗾,ソウ
𠻛,ソウ
𥈃,ソウ
𧩮,ソウ
擻,ソウ
藪,ソウ
籔,ソウ
𦖪,ソウ
廀,ソウ
棷,ソウ
駷,ソウ
操,ソウ
吼,コウ
吽,コウ
呴,コウ
㸸,コウ
𤘽,コウ
蚼,コウ
㖃,コウ
剖,ホウ
婄,ホウ
蔀,ホウ
䳝,ホウ
䯽,ホウ
歐,オウ
嘔,オウ
毆,オウ
㸸,オウ
𠙶,オウ
塸,オウ
䙔,オウ
塿,ロウ
嘍,ロウ
簍,ロウ
甊,ロウ
𪍣,ロウ
嶁,ロウ
㪹,ロウ
謱,ロウ
漊,ロウ
䅹,ロウ
走,ソウ
口,コウ
扣,コウ
㸸,コウ
𤘘,コウ
釦,コウ
叩,コウ
𧥣,コウ
𨙫,コウ
竘,コウ
䕆,トウ
𨪐,トウ
𠁁,トウ
揄,トウ
𩿢,トウ
襡,トウ
鯫,ソウ
趣,ソウ
取,ソウ
棷,ソウ
黝,イウ
怮,イウ
䬀,イウ
蚴,イウ
泑,イウ
眑,イウ
𣢜,イウ
糾,キウ
赳,キウ
朻,キウ
𨷺,キウ
蟉,キウ
寑,シム
𡪢,シム
寢,シム
梫,シム
㾛,シム
𡬓,シム
𦯈,シム
鋟,シム
䤐,シム
朕,チム
𦩗,チム
鰧,チム
螣,チム
栚,チム
顩,チム
坅,キム
廩,リム
㐭,リム
懍,リム
菻,リム
凜,リム
顲,リム
𤎭,リム
癛,リム
罧,シム
伈,シム
踸,チム
鍖,チム
䫖,チム
䤐,シム
𡩻,シム
䭙,シム
䐶,シム
荏,ジム
飪,ジム
餁,ジム
䭃,ジム
稔,ジム
栠,ジム
恁,ジム
袵,ジム
䏕,ジム
䇮,ジム
棯,ジム
𢆉,ジム
銋,ジム
腍,ジム
枕,シム
䪴,シム
䫬,シム
沈,シム
邥,シム
宷,シム
審,シム
㰂,シム
瞫,シム
諗,シム
䰼,シム
魫,シム
淰,シム
㜤,シム
䀢,シム
𩶇,シム
𧀯,シム
葚,シム
𣞵,シム
甚,シム
訦,シム
瀋,シム
墋,シム
醦,シム
磣,シム
拰,ヂム
噤,キム
䫴,キム
凚,キム
唫,キム
錦,キム
蕈,シム
僸,ギム
趛,ギム
㾕,シム
瘮,シム
槮,シム
稟,ヒム
㱃,イム
飲,イム
𤃷,イム
品,ヒム
𩖄,キム
顉,キム
廞,キム
戡,チム
㱽,チム
潭,イム
𩒣,シム
感,カム
𥸡,カム
鱤,カム
灝,カム
贑,カム
䤗,カム
贛,カム
㔶,カム
𧆐,カム
䃭,カム
灨,カム
禫,タム
䊤,タム
䨢,タム
黮,タム
窞,タム
髧,タム
萏,タム
𧂄,タム
倓,タム
𥥦,タム
𧡪,タム
醰,タム
嘾,タム
贉,タム
譚,タム
𣛱,タム
晻,アム
黭,アム
揞,アム
唵,アム
隌,アム
罯,アム
黤,アム
㞄,アム
𤃷,アム
腩,ダム
湳,ダム
䈒,ダム
𦐃,ダム
揇,ダム
萳,ダム
襑,タム
𥁺,タム
䏙,タム
嗿,タム
黮,タム
歜,サム
㣅,サム
䰼,サム
㔆,サム
慘,サム
憯,サム
朁,サム
黲,サム
㜗,サム
傪,サム
噆,サム
䫩,サム
顉,ガム
㜝,ガム
嵁,ガム
昝,サム
寁,サム
撍,サム
糂,サム
糝,サム
