字,漢音
䧦,クヰ
逶,ヰ
𣨙,ヰ
萎,ヰ
㮃,ヰ
覣,ヰ
蜲,ヰ
痿,ヰ
倭,ヰ
委,ヰ
䴧,ヰ
蟡,ヰ
糜,ビ
縻,ビ
㸏,ビ
𪎕,ビ
蘼,ビ
䊳,ビ
𪎭,ビ
𦗕,ビ
醿,ビ
隓,キ
墮,キ
隳,キ
眭,キ
觿,キ
睢,キ
䜐,キ
鑴,キ
蘳,キ
鬌,ツイ
錘,ツイ
甀,ツイ
𡍮,スイ
垂,スイ
陲,スイ
倕,スイ
𦈼,スイ
𨿠,スイ
圌,スイ
篅,スイ
𥳙,スイ
𠂹,スイ
羸,ルイ
𡰠,ルイ
吹,スイ
炊,スイ
䶴,スイ
鈹,ヒ
帔,ヒ
鮍,ヒ
披,ヒ
𤱍,ヒ
耚,ヒ
狓,ヒ
翍,ヒ
旇,ヒ
秛,ヒ
𤿎,ヒ
㱟,ヒ
陂,ヒ
詖,ヒ
碑,ヒ
羆,ヒ
𥀍,ヒ
𨰟,ヒ
𤜑,ヒ
𨧦,ヒ
𥶓,ヒ
襬,ヒ
藣,ヒ
隨,ズイ
隋,ズイ
𥶻,ズイ
虧,クヰ
闚,クヰ
窺,クヰ
竒,キ
琦,キ
騎,キ
鵸,キ
弜,キ
鬾,キ
碕,キ
𢺷,キ
㩽,キ
錡,キ
祇,キ
示,キ
衹,キ
岐,キ
歧,キ
𨙸,キ
馶,キ
疧,キ
蚑,キ
忯,キ
䞚,キ
翄,キ
𢻚,キ
軝,キ
𩉬,キ
芪,キ
汥,キ
跂,キ
䲬,キ
蚑,キ
䉻,キ
𦭲,キ
伎,キ
𨱜,キ
𠁭,キ
犧,キ
羲,キ
焁,キ
桸,キ
巇,キ
羛,キ
戲,キ
𤃪,キ
曦,キ
𢹍,キ
𧕆,キ
䚙,キ
䖒,キ
㺣,キ
𣤴,キ
𢨛,キ
㚀,キ
隵,キ
㩻,キ
觭,キ
踦,キ
㱦,キ
崎,キ
𦖊,キ
碕,キ
𤘌,キ
㥓,キ
䗁,キ
攲,キ
宜,ギ
宐,ギ
𠣨,ギ
㝖,ギ
儀,ギ
𥪺,ギ
䣡,ギ
䴊,ギ
轙,ギ
涯,ギ
崖,ギ
皮,ヒ
疲,ヒ
郫,ヒ
罷,ヒ
㯅,ヒ
犤,ヒ
提,シ
𦑡,シ
㖷,シ
匙,シ
䈕,シ
堤,シ
禔,シ
𦳚,シ
忯,シ
姼,シ
眂,シ
𣏚,シ
兒,ジ
𠒆,ジ
唲,ジ
婼,ジ
離,リ
籬,リ
醨,リ
罹,リ
璃,リ
酈,リ
𣀷,リ
驪,リ
𪖂,リ
樆,リ
鸝,リ
鵹,リ
𪅆,リ
縭,リ
褵,リ
蘺,リ
䕻,リ
麗,リ
离,リ
䍦,リ
㰚,リ
蠡,リ
䅻,リ
孋,リ
漓,リ
灕,リ
𧕯,リ
㷰,リ
𧕮,リ
攡,リ
黐,リ
矖,リ
穲,リ
𢟢,リ
𢥗,リ
謧,リ
劙,リ
疵,シ
骴,シ
玼,シ
茈,シ
𣐑,シ
胔,シ
飺,シ
鴜,シ
貲,シ
頿,シ
鴜,シ
𪕊,シ
鮆,シ
訾,シ
鄑,シ
㠿,シ
媊,シ
𨚖,シ
㰣,シ
鈭,シ
姕,シ
𦺱,シ
䖪,シ
觜,シ
羈,キ
