小韻,字,漢音
1468,腎,シン
1469,忍,ジン
1470,矤,シン
1471,嶙,リン
1472,紖,チン
1473,緊,キン
1474,盡,シン
1475,㯸,シン
1476,牝,ヒン
1477,釿,ギン
1478,笉,シン
1479,窘,クヰン
1480,引,イン
1481,愍,ビン
1482,泯,ミン
1483,殞,ヰン
1484,準,シュン
1485,尹,ヰン
1486,筍,シュン
1487,蝡,ジュン
1488,蠢,シュン
1489,盾,シュン
1490,偆,シュン
1491,耣,リン
1492,𣯍,ジュン
1493,𦃢,クヰン
1494,螼,
1495,賰,シュン
1496,脪,
1497,濜,
1498,屒,チン
1499,吻,ブン
1500,粉,フン
1501,憤,フン
1502,忿,フン
1503,惲,ウン
1504,齳,
1505,抎,ウン
1506,𧼐,
1507,隱,イン
1508,謹,キン
1509,𧤛,シン
1510,赾,
1511,近,キン
1512,齔,シン
1513,听,ギン
1514,䘆,キン
